ID,Up/Co,Sex,Friend,Source,Country,Age,Occupation,Marriage,Post_Type,Time
N-18,Both,F,Y,Friend,USA,33,Finance,S,Life,7/21/2021
N-18,Both,F,Y,Friend,USA,33,Finance,S,Life,7/1/2021
N-18,Co,F,Y,Friend,USA,33,Finance,S,Life,7/16/2021
N-18,Co,F,Y,Friend,USA,33,Finance,S,Life,2/28/2021
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Life,12/1/2020
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Life,7/21/2021
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Life,12/7/2019
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Opinion,3/16/2020
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Life,10/31/2020
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Life,6/9/2020
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Church,4/25/2020
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Work,10/26/2020
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Church,10/12/2020
N-42,Up,M,A,Alumni,China,40,Lecturer,M,Life,3/6/2020
N-201,Up,M,A,Alumni,China,33,Manager,M,Life,10/26/2019
N-201,Up,M,A,Alumni,China,33,Manager,M,Life,7/16/2021
N-201,Up,M,A,Alumni,China,33,Manager,M,Life,12/7/2019
N-168,Up,F,N,Alumni,USA,35,NA,S,Opinion,11/24/2019
N-168,Up,F,N,Alumni,USA,35,NA,S,Life,12/7/2019
N-168,Up,F,N,Alumni,USA,35,NA,S,Life,5/10/2020
N-138,Up,F,A,Church,USA,30,Lawyer,S,Church,7/12/2020
N-138,Up,F,A,Church,USA,30,Lawyer,S,Church,4/25/2020
N-138,Up,F,A,Church,USA,30,Lawyer,S,Church,7/12/2020
N-21,Co,F,A,Church,USA,30,Student,M,Life,7/16/2021
N-21,Co,F,A,Church,USA,30,Student,M,Life,10/26/2019
N-21,Co,F,A,Church,USA,30,Student,M,Life,2/28/2021
