ID,Up/Co,Sex,Friend,Source,Country,Age,Occupation,Marriage,Post_Type,Time
N-14,Up,M,A,Church,China,32,NA,R,Life,6/9/2020
N-14,Up,M,A,Church,China,32,NA,R,Church,7/12/2020
N-14,Up,M,A,Church,China,32,NA,R,Opinion,3/16/2020
N-14,Up,M,A,Church,China,32,NA,R,Life,3/6/2020
N-14,Up,M,A,Church,China,32,NA,R,Life,10/31/2020
N-14,Up,M,A,Church,China,32,NA,R,Life,7/16/2021
N-14,Up,M,A,Church,China,32,NA,R,Life,2/28/2021
N-14,Up,M,A,Church,China,32,NA,R,Church,2/27/2020
N-14,Up,M,A,Church,China,32,NA,R,Church,7/12/2020
N-14,Up,M,A,Church,China,32,NA,R,Life,7/21/2021
N-14,Up,M,A,Church,China,32,NA,R,Life,12/1/2020
N-14,Up,M,A,Church,China,32,NA,R,Opinion,8/11/2020
N-14,Up,M,A,Church,China,32,NA,R,Life,7/1/2021
N-140,Up,M,A,Church,China,60,Professor,M,Church,2/27/2020
N-140,Both,M,A,Church,China,60,Professor,M,Church,4/25/2020
N-140,Up,M,A,Church,China,60,Professor,M,Life,6/9/2020
N-140,Up,M,A,Church,China,60,Professor,M,Opinion,7/20/2020
N-93,Up,M,A,Church,China,30,NA,M,Life,7/16/2021
N-93,Up,M,A,Church,China,30,NA,M,Life,7/21/2021
N-93,Up,M,A,Church,China,30,NA,M,Life,7/1/2021
N-93,Co,M,A,Church,China,30,NA,M,Life,6/9/2020
N-93,Up,M,A,Church,China,30,NA,M,Life,10/31/2020
N-85,Up,M,N,Other,China,40,Professor,M,Life,12/7/2019
N-85,Up,M,N,Other,China,40,Professor,M,Work,10/26/2020
N-85,Up,M,N,Other,China,40,Professor,M,Life,10/31/2020
N-219,Up,M,A,Family,China,35,Manager,M,Life,12/7/2019
N-112,Up,M,A,Alumni,China,35,NA,M,Life,12/7/2019
N-112,Up,M,A,Alumni,China,35,NA,M,Work,10/26/2020
N-51,Both,F,A,Alumni,USA,32,Engineer,M,Life,7/1/2021
N-51,Up,F,A,Alumni,USA,32,Engineer,M,Life,12/1/2020
N-51,Up,F,A,Alumni,USA,32,Engineer,M,Life,10/31/2020
N-51,Up,F,A,Alumni,USA,32,Engineer,M,Life,10/26/2019
N-51,Up,F,A,Alumni,USA,32,Engineer,M,Life,6/9/2020
N-51,Up,F,A,Alumni,USA,32,Engineer,M,Life,12/7/2019
N-51,Up,F,A,Alumni,USA,32,Engineer,M,Life,5/10/2020
N-74,Up,M,A,Church,USA,30,Student,S,Life,10/26/2019
N-74,Up,M,A,Church,USA,30,Student,S,Life,7/1/2021
N-74,Up,M,A,Church,USA,30,Student,S,Life,10/31/2020
N-74,Up,M,A,Church,USA,30,Student,S,Life,5/10/2020
N-74,Up,M,A,Church,USA,30,Student,S,Life,6/9/2020
N-74,Up,M,A,Church,USA,30,Student,S,Life,12/7/2019
N-17,Up,F,A,Church,USA,60,Servant,M,Life,5/10/2020
